CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012141126,2499-13,STOLEN VEHICLE,08/14/2012 02:38:00 AM,08/14/2012 01:30:00 AM,3,"600 S BRAMPTON WAY
Salt lake City, Utah
(40.756360981000455, -111.93645982699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012179123,2404-64,STOLEN VEHICLE,10/12/2012 05:49:00 PM,10/12/2012 10:00:00 AM,6,"900 S 1100 E
Salt lake City, Utah
(40.74969191400049, -111.85952371399969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20123724,2499-13,STOLEN VEHICLE,01/07/2012 04:24:00 PM,01/07/2012 04:24:00 PM,7,"400 E RAMONA AVE
Salt lake City, Utah
(40.72828538600049, -111.84747447499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012206777,2499-15,STOLEN VEHICLE,12/01/2012 04:52:00 PM,12/01/2012 04:52:00 PM,7,"300 W HOPE AVE
Salt lake City, Utah
(40.738918948000446, -111.89981512799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012185369,2499-13,STOLEN VEHICLE,10/23/2012 04:50:00 PM,10/23/2012 04:50:00 PM,3,"100 N REDWOOD RD
Salt lake City, Utah
(40.77173005500049, -111.93923315599972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012140726,2499-14,STOLEN VEHICLE,08/13/2012 12:53:00 PM,08/13/2012 12:53:00 PM,2,"00 S RIO GRANDE ST
Salt lake City, Utah
(40.76451600700045, -111.90408205999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012102949,2499-13,STOLEN VEHICLE,06/18/2012 08:10:00 PM,06/18/2012 08:10:00 PM,2,"300 E 4TH AVE
Salt lake City, Utah
(40.77394692000047, -111.8804291989997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012204843,2499-13,STOLEN VEHICLE,11/28/2012 11:43:00 AM,11/28/2012 11:00:00 AM,4,"700 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77162788600049, -111.91150595399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201276856,2499-13,STOLEN VEHICLE,05/08/2012 02:42:00 PM,05/08/2012 02:42:00 PM,3,"00 S MAIN ST
Salt lake City, Utah
(40.677136274000475, -111.89125586999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012163276,2499-13,STOLEN VEHICLE,09/16/2012 04:38:00 PM,09/16/2012 04:38:00 PM,1,"00 N I ST
Salt lake City, Utah
(40.77756306600048, -111.87155986999971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012108122,2499-14,STOLEN VEHICLE,06/26/2012 11:13:00 AM,06/26/2012 11:13:00 AM,3,"200 S NAVAJO ST
Salt lake City, Utah
(40.76440256300049, -111.92953459999967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012182732,2499-13,STOLEN VEHICLE,10/18/2012 08:10:00 PM,10/18/2012 08:10:00 PM,5,"00 N A ST
Salt lake City, Utah
(40.76995732400047, -111.88353713699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012211876,2404-0,STOLEN VEHICLE,12/11/2012 12:01:00 PM,12/11/2012 12:00:00 PM,3,"700 S REDWOOD RD
Salt lake City, Utah
(40.828761855000494, -111.9372164399997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012110576,2499-16,STOLEN VEHICLE,06/29/2012 06:55:00 PM,06/29/2012 06:55:00 PM,6,"500 S 900 E
Salt lake City, Utah
(40.75842435800047, -111.8653630989997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012212734,2499-17,STOLEN VEHICLE,12/13/2012 04:38:00 AM,12/13/2012 04:38:00 AM,5,"500 E 1700 S
Salt lake City, Utah
(40.733493318000455, -111.8766385459997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012155215,2404-64,STOLEN VEHICLE,09/04/2012 10:40:00 AM,09/04/2012 12:00:00 AM,3,"1200 E BRYAN AVE
Salt lake City, Utah
(40.73556581800045, -111.8566797199997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012220493,2499-17,STOLEN VEHICLE,12/29/2012 08:44:00 AM,12/28/2012 09:00:00 PM,6,"600 E MEADOW LN
Salt lake City, Utah
(40.71659447400049, -111.87244929199971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201222813,2499-15,STOLEN VEHICLE,02/09/2012 01:01:00 PM,02/09/2012 10:00:00 AM,5,"900 E 400 S
Salt lake City, Utah
(40.760546526000496, -111.86521760699969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012138644,2499-17,STOLEN VEHICLE,08/10/2012 09:25:00 AM,08/10/2012 09:25:00 AM,6,"1200 W 300 S
Salt lake City, Utah
(40.76282688500049, -111.92553847199969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012198515,2499-13,STOLEN VEHICLE,11/15/2012 06:18:00 PM,11/15/2012 06:18:00 PM,5,"1000 S CHEYENNE ST
Salt lake City, Utah
(40.74803911800046, -111.93455270099969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201231542,2499-13,STOLEN VEHICLE,02/24/2012 02:07:00 PM,02/24/2012 02:07:00 PM,6,"200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201236518,2499-13,STOLEN VEHICLE,03/04/2012 12:50:00 AM,03/04/2012 12:00:00 AM,1,"900 S 300 W
Salt lake City, Utah
(40.749682660000474, -111.89971433499971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012144416,2499-13,STOLEN VEHICLE,08/18/2012 07:16:00 PM,08/18/2012 07:16:00 PM,7,"700 E 4TH AVE
Salt lake City, Utah
(40.77392653400045, -111.8684496569997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201213363,2499-17,STOLEN VEHICLE,01/24/2012 07:16:00 AM,01/24/2012 07:16:00 AM,3,"300 E HARRISON AVE
Salt lake City, Utah
(40.73994296300049, -111.8823788309997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012153619,2499-14,STOLEN VEHICLE,09/01/2012 03:56:00 PM,09/01/2012 03:56:00 PM,7,"SOUTH TEMPLE ST / REDWOOD RD
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012211119,2499-15,STOLEN VEHICLE,12/09/2012 04:28:00 PM,12/09/2012 04:28:00 PM,1,"300 E SOUTH TEMPLE ST
Salt lake City, Utah
(40.76931479400048, -111.88220546199972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012204766,2499-17,STOLEN VEHICLE,11/28/2012 08:57:00 AM,11/28/2012 06:00:00 AM,4,"500 N PAMELA WAY
Salt lake City, Utah
(40.78040408600049, -111.94283993399966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012207210,2499-13,STOLEN VEHICLE,12/02/2012 01:27:00 PM,11/29/2012 05:00:00 PM,5,"200 S FOSS ST
Salt lake City, Utah
(40.76487192500048, -111.9348839059997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012166081,2499-14,STOLEN VEHICLE,09/21/2012 11:49:00 AM,09/21/2012 11:49:00 AM,6,"900 E DOWNINGTON AVE
Salt lake City, Utah
(40.731013404000464, -111.8652088019997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201271145,2499-14,STOLEN VEHICLE,04/29/2012 09:21:00 AM,04/29/2012 09:21:00 AM,1,"200 E ROSEWOOD AVE
Salt lake City, Utah
(40.72742584000048, -111.88530076099971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20127078,2499-14,STOLEN VEHICLE,01/13/2012 09:34:00 AM,01/13/2012 09:34:00 AM,6,"1800 W INDEPENDENCE BLVD
Salt lake City, Utah
(40.801798061000454, -111.94243840399969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012171765,2499-17,STOLEN VEHICLE,09/30/2012 09:10:00 AM,09/28/2012 08:00:00 AM,6,"700 S 300 E
Salt lake City, Utah
(40.75405378300047, -111.8825243979997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012177130,2408-0,STOLEN VEHICLE,10/09/2012 01:54:00 PM,10/09/2012 01:54:00 PM,3,"300 E 700 S
Salt lake City, Utah
(40.75411646200047, -111.8823688819997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012183569,2499-13,STOLEN VEHICLE,10/20/2012 09:59:00 AM,10/20/2012 09:59:00 AM,7,"1700 W 1300 N
Salt lake City, Utah
(40.797790343000486, -111.93930786899966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012211826,2499-13,STOLEN VEHICLE,12/11/2012 11:14:00 AM,12/11/2012 11:14:00 AM,3,"800 S 3600 W
Salt lake City, Utah
(40.75137453800045, -111.97728215299969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012209486,2499-16,STOLEN VEHICLE,12/06/2012 07:08:00 PM,12/06/2012 07:08:00 PM,5,"1300 S WEST TEMPLE ST
Salt lake City, Utah
(40.74151196300045, -111.8939739119997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012136652,2499-13,STOLEN VEHICLE,08/07/2012 11:28:00 AM,08/06/2012 07:00:00 PM,2,"1700 S 600 E
Salt lake City, Utah
(40.73343036500046, -111.87394535999971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20123853,2499-13,STOLEN VEHICLE,01/07/2012 08:13:00 PM,01/07/2012 08:13:00 PM,7,"REDWOOD RD / NORTH TEMPLE ST
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012133349,2499-13,STOLEN VEHICLE,08/02/2012 06:56:00 AM,08/02/2012 06:56:00 AM,5,"700 S 800 W
Salt lake City, Utah
(40.75400036800045, -111.91410226899967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201298639,2499-14,STOLEN VEHICLE,06/12/2012 06:24:00 AM,06/12/2012 06:10:00 AM,3,"100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201284848,2499-13,STOLEN VEHICLE,05/21/2012 07:57:00 AM,05/20/2012 10:30:00 PM,1,"300 E EDITH AVE
Salt lake City, Utah
(40.74250188700046, -111.8823660759997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012100054,2499-13,STOLEN VEHICLE,06/14/2012 10:04:00 AM,06/14/2012 03:30:00 AM,5,"1600 W EARNSHAW LN
Salt lake City, Utah
(40.80718770700048, -111.93839542599972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201226372,2499-14,STOLEN VEHICLE,02/15/2012 04:08:00 PM,02/15/2012 04:08:00 PM,4,"1000 E 400 S
Salt lake City, Utah
(40.76063404500047, -111.86194985799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012147435,2499-14,STOLEN VEHICLE,08/23/2012 12:05:00 PM,08/23/2012 12:05:00 PM,5,"700 W 1355 S
Salt lake City, Utah
(40.74031870200048, -111.91123587299967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012208253,2499-17,STOLEN VEHICLE,12/04/2012 02:02:00 PM,12/04/2012 02:02:00 PM,3,"3700 W TERMINAL WESTBOUND DR
Salt lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012146948,2499-13,STOLEN VEHICLE,08/22/2012 05:30:00 PM,08/22/2012 08:00:00 AM,4,"500 E 11TH AVE
Salt lake City, Utah
(40.78188707300046, -111.87442867899966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20126019,2499-13,STOLEN VEHICLE,01/11/2012 11:14:00 PM,01/11/2012 11:14:00 PM,4,"300 W SOUTH TEMPLE ST
Salt lake City, Utah
(40.76931479400048, -111.88220546199972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201272175,2499-13,STOLEN VEHICLE,05/01/2012 06:00:00 AM,05/01/2012 06:00:00 AM,3,"1500 W 400 S
Salt lake City, Utah
(40.7606742910005, -111.93439544599971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012139706,2499-13,STOLEN VEHICLE,08/11/2012 08:14:00 PM,08/11/2012 08:14:00 PM,7,"1100 S 700 W
Salt lake City, Utah
(40.74525566500046, -111.9111093459997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201247036,2499-13,STOLEN VEHICLE,03/21/2012 03:22:00 PM,03/21/2012 01:00:00 PM,4,"400 N CENTER ST
Salt lake City, Utah
(40.77849512200049, -111.89397602599968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012184330,2499-13,STOLEN VEHICLE,10/21/2012 07:02:00 PM,10/21/2012 06:40:00 PM,1,"700 S STATE ST
Salt lake City, Utah
(40.75408008000045, -111.8882624469997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201284012,2499-13,STOLEN VEHICLE,05/19/2012 07:43:00 PM,05/16/2012 07:43:00 PM,4,"2200 S FOOTHILL DR
Salt lake City, Utah
(40.72348132200045, -111.81333692699968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012159145,2499-17,STOLEN VEHICLE,09/10/2012 07:37:00 AM,09/10/2012 07:15:00 AM,2,"1500 S WASATCH DR
Salt lake City, Utah
(40.73722132900048, -111.81850017799968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012135767,2499-16,STOLEN VEHICLE,08/05/2012 09:13:00 PM,08/05/2012 09:13:00 PM,1,"200 W 400 N
Salt lake City, Utah
(40.7780794520005, -111.8970164369997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012126027,2499-13,STOLEN VEHICLE,07/22/2012 08:24:00 AM,07/22/2012 07:49:00 AM,1,"800 N EAST CAPITOL BLVD
Salt lake City, Utah
(40.78689857000046, -111.88618197199969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20129428,2499-17,STOLEN VEHICLE,01/17/2012 04:59:00 AM,01/17/2012 04:59:00 AM,3,"1600 W BRIAR ROSE PL
Salt lake City, Utah
(40.733841853000456, -111.9372453799997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012193199,2499-17,STOLEN VEHICLE,11/06/2012 08:06:00 AM,11/06/2012 08:00:00 AM,3,"300 E HUBBARD AVE
Salt lake City, Utah
(40.74859385700046, -111.88236903899968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012160637,2499-13,STOLEN VEHICLE,09/12/2012 06:10:00 PM,09/12/2012 06:10:00 PM,4,"900 E 900 S
Salt lake City, Utah
(40.749763327000494, -111.86523091099968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012179683,2499-16,STOLEN VEHICLE,10/13/2012 05:08:00 PM,10/13/2012 05:08:00 PM,7,"1100 E WHITLOCK AVE
Salt lake City, Utah
(40.71639519500047, -111.8580480759997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012126066,2499-17,STOLEN VEHICLE,07/22/2012 10:18:00 AM,07/22/2012 10:18:00 AM,1,"1400 S WEST TEMPLE ST
Salt lake City, Utah
(40.739161252000486, -111.89395514399968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012181111,2499-14,STOLEN VEHICLE,10/16/2012 10:10:00 AM,10/16/2012 10:10:00 AM,3,"200 S FOSS ST
Salt lake City, Utah
(40.76487192500048, -111.9348839059997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201263445,2499-15,STOLEN VEHICLE,04/17/2012 03:14:00 PM,04/02/2012 09:30:00 AM,2,"2000 S 900 W
Salt lake City, Utah
(40.72714925300045, -111.91690177099969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012169691,2499-17,STOLEN VEHICLE,09/27/2012 08:52:00 AM,09/27/2012 08:00:00 AM,5,"2900 S JUDITH ST
Salt lake City, Utah
(40.707778773000484, -111.85918260899967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012156619,2499-17,STOLEN VEHICLE,09/06/2012 10:17:00 AM,09/06/2012 10:17:00 AM,5,"600 S REDWOOD RD
Salt lake City, Utah
(40.7561771070005, -111.93906526499967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012121463,2499-14,STOLEN VEHICLE,07/15/2012 02:36:00 PM,07/15/2012 02:36:00 PM,1,"2600 E EAGLE WAY
Salt lake City, Utah
(40.736647131000495, -111.8157076279997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201238930,2499-13,STOLEN VEHICLE,03/08/2012 07:27:00 AM,03/08/2012 07:27:00 AM,5,"2400 S ALDEN ST
Salt lake City, Utah
(40.71814346500048, -111.85259151799971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012199476,2499-17,STOLEN VEHICLE,11/17/2012 03:12:00 PM,11/17/2012 03:12:00 PM,7,"200 E 3RD AVE
Salt lake City, Utah
(40.77280509500048, -111.88341810799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012219006,2499-13,STOLEN VEHICLE,12/26/2012 03:25:00 AM,12/26/2012 03:25:00 AM,4,"300 S 900 E
Salt lake City, Utah
(40.76275092300045, -111.86537195799968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012135825,2499-13,STOLEN VEHICLE,08/06/2012 12:00:00 AM,08/06/2012 12:00:00 AM,2,"100 S 300 W
Salt lake City, Utah
(40.83993092200046, -111.90432455599966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012205903,2499-13,STOLEN VEHICLE,11/30/2012 07:18:00 AM,11/29/2012 08:30:00 PM,5,"1600 W BRIAR ROSE PL
Salt lake City, Utah
(40.733841853000456, -111.9372453799997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012195520,2499-13,STOLEN VEHICLE,11/10/2012 08:27:00 AM,11/09/2012 12:00:00 AM,6,"700 S JEREMY ST
Salt lake City, Utah
(40.75400036800045, -111.9154042239997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012113626,2499-13,STOLEN VEHICLE,07/04/2012 06:50:00 AM,07/04/2012 01:30:00 AM,4,"100 N B ST
Salt lake City, Utah
(40.77180091000048, -111.8820135629997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012107964,2499-13,STOLEN VEHICLE,06/26/2012 02:35:00 AM,06/26/2012 02:35:00 AM,3,"300 E 5TH AVE
Salt lake City, Utah
(40.775076166000474, -111.88042919799972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201256533,2499-17,STOLEN VEHICLE,04/05/2012 10:30:00 PM,04/05/2012 10:30:00 PM,5,"700 W 300 N
Salt lake City, Utah
(40.77588664600046, -111.91125851599969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012188009,2499-15,STOLEN VEHICLE,10/28/2012 02:41:00 AM,10/28/2012 02:41:00 AM,1,"100 W PIERPONT AVE
Salt lake City, Utah
(40.76394928400049, -111.89408443099967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012144807,2499-13,STOLEN VEHICLE,08/19/2012 12:14:00 PM,08/19/2012 11:30:00 AM,1,"500 N COLUMBUS ST
Salt lake City, Utah
(40.78004123700049, -111.88992759599967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201225858,2499-13,STOLEN VEHICLE,02/14/2012 04:09:00 PM,02/14/2012 04:09:00 PM,3,"500 E 700 S
Salt lake City, Utah
(40.754103177000445, -111.87666950799968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012195732,2499-17,STOLEN VEHICLE,11/10/2012 04:05:00 PM,11/10/2012 04:05:00 PM,7,"800 E 400 S
Salt lake City, Utah
(40.760546526000496, -111.86794993999968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201294291,2499-13,STOLEN VEHICLE,06/05/2012 07:26:00 AM,06/05/2012 07:26:00 AM,3,"1900 W REDCLOVER DR
Salt lake City, Utah
(40.78842866600047, -111.94636597699969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201292565,2499-13,STOLEN VEHICLE,06/02/2012 12:50:00 PM,06/02/2012 12:50:00 PM,7,"200 S FOSS ST
Salt lake City, Utah
(40.76487192500048, -111.9348839059997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012108123,2499-13,STOLEN VEHICLE,06/26/2012 11:00:00 AM,06/25/2012 11:45:00 PM,2,"200 E 2ND AVE
Salt lake City, Utah
(40.77168399800047, -111.88342724299969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012165624,2499-13,STOLEN VEHICLE,09/20/2012 03:46:00 PM,09/20/2012 03:46:00 PM,5,"2200 S WINDSOR ST
Salt lake City, Utah
(40.72209397500046, -111.86680386799969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012117597,2499-14,STOLEN VEHICLE,07/09/2012 07:03:00 PM,07/09/2012 07:03:00 PM,2,"00 S 615 W
Salt lake City, Utah
(40.67691476200048, -111.8733726749997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012108559,2499-13,STOLEN VEHICLE,06/26/2012 10:28:00 PM,06/26/2012 10:28:00 PM,3,"1200 W PACIFIC AVE
Salt lake City, Utah
(40.75958231600049, -111.92556213899968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012147563,2499-14,STOLEN VEHICLE,08/23/2012 03:26:00 PM,08/23/2012 03:26:00 PM,5,"500 N GRANT ST
Salt lake City, Utah
(40.78029018800049, -111.91251207499971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012198223,2499-13,STOLEN VEHICLE,11/15/2012 09:18:00 AM,11/14/2012 08:00:00 PM,4,"00 S 400 E
Salt lake City, Utah
(40.68481389200048, -111.87993769599967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012116625,2499-13,STOLEN VEHICLE,07/08/2012 07:11:00 AM,07/08/2012 07:11:00 AM,1,"100 N I ST
Salt lake City, Utah
(40.771800666000445, -111.87155258199971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201288875,2499-13,STOLEN VEHICLE,05/27/2012 12:58:00 PM,05/27/2012 02:00:00 AM,1,"100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201233227,2499-17,STOLEN VEHICLE,02/27/2012 10:40:00 AM,02/25/2012 03:00:00 PM,7,"00 E 900 S
Salt lake City, Utah
(40.74979030600048, -111.88389362399971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012122630,2499-15,STOLEN VEHICLE,07/17/2012 12:23:00 PM,07/17/2012 11:30:00 AM,3,"500 W 200 N
Salt lake City, Utah
(40.77373017800045, -111.90558564199966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012177271,2499-13,STOLEN VEHICLE,10/09/2012 05:33:00 PM,10/09/2012 05:33:00 PM,3,"800 E SOUTH TEMPLE ST
Salt lake City, Utah
(40.76933693600046, -111.8677838429997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20121705,2499-17,STOLEN VEHICLE,01/04/2012 08:35:00 AM,01/04/2012 08:35:00 AM,4,"800 N STAR CREST DR
Salt lake City, Utah
(40.786671252000474, -111.94354076199971)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012101317,2499-13,STOLEN VEHICLE,06/16/2012 08:19:00 AM,06/16/2012 03:00:00 AM,7,"1300 E 900 S
Salt lake City, Utah
(40.75032833600045, -111.92832082399968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20121982,2499-13,STOLEN VEHICLE,01/04/2012 04:01:00 PM,01/04/2012 08:50:00 AM,4,"200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012167024,2499-13,STOLEN VEHICLE,09/22/2012 06:41:00 PM,09/22/2012 06:41:00 PM,7,"100 N REDWOOD RD
Salt lake City, Utah
(40.77173005500049, -111.93923315599972)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201225869,2499-13,STOLEN VEHICLE,02/14/2012 04:39:00 PM,02/14/2012 04:39:00 PM,3,"200 N 800 W
Salt lake City, Utah
(40.77378041300045, -111.91382288999966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012183538,2499-17,STOLEN VEHICLE,10/20/2012 08:38:00 AM,10/20/2012 08:38:00 AM,7,"300 S 1000 W
Salt lake City, Utah
(40.7627240380005, -111.91973380399969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012119850,2499-17,STOLEN VEHICLE,07/13/2012 08:34:00 AM,07/13/2012 08:34:00 AM,6,"1600 W BUNBURY LN
Salt lake City, Utah
(40.75514024500046, -111.9365168549997)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012142587,2499-13,STOLEN VEHICLE,08/16/2012 07:26:00 AM,08/16/2012 12:45:00 AM,5,"3100 W 500 S
Salt lake City, Utah
(40.70356067400047, -111.87694633899969)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012152626,2499-17,STOLEN VEHICLE,08/31/2012 06:20:00 AM,08/31/2012 06:20:00 AM,6,"500 N REDWOOD RD
Salt lake City, Utah
(40.78028133000049, -111.93936157599967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20124280,2499-16,STOLEN VEHICLE,01/08/2012 06:11:00 PM,01/08/2012 06:11:00 PM,1,"2600 S 700 E
Salt lake City, Utah
(40.714104456000484, -111.87129272799967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201227864,2499-14,STOLEN VEHICLE,02/18/2012 02:07:00 AM,02/18/2012 02:07:00 AM,7,"1600 W 200 S
Salt lake City, Utah
(40.72279801900049, -111.93717150099968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201290819,2499-15,STOLEN VEHICLE,05/30/2012 09:21:00 PM,05/30/2012 09:21:00 PM,4,"400 S 300 W
Salt lake City, Utah
(40.760572141000466, -111.89972319799966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012128305,2499-14,STOLEN VEHICLE,07/25/2012 02:40:00 PM,07/25/2012 02:40:00 PM,4,"700 S 5600 W
Salt lake City, Utah
(40.7547221370005, -112.02499401399967)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2012220576,2499-13,STOLEN VEHICLE,12/29/2012 02:26:00 PM,12/22/2012 12:00:00 PM,7,"700 W 300 S
Salt lake City, Utah
(40.762857504000465, -111.91149225299966)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201294913,2499-17,STOLEN VEHICLE,06/06/2012 04:23:00 AM,06/06/2012 04:23:00 AM,4,"1200 N REDWOOD RD
Salt lake City, Utah
(40.79498040800047, -111.93919375499968)","Salt lake City, Utah
(40.66726905100046, -111.92357267799969)"
