"Report.Submission.Source","Incident.City","Date.of.Incident","Hazardous.Class","Total.Hazmat.Fatalities","Total.Hazmat.Hosp.Injuries","Total.Hazmat.NonHosp.Injuries","Total.Amount.of.Damages","Origin.State","Mode.of.Transportation","HMIS.Serious.Injury","HMIS.Serious.Incident.Ind","year","month"
"Paper","SALT LAKE CITY",1989-05-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1989,5
"Paper","SALT LAKE CITY",1982-06-14,"CORROSIVE MATERIAL",0,0,0,0,"WISCONSIN","Highway","No","No",1982,6
"Paper","SALINA",1975-04-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",1975,4
"Paper","ALTAMONT",1975-02-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1975,2
"Paper","SALT LAKE CITY",2007-08-31,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2007,8
"Paper","SALT LAKE CY",1980-03-30,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,3
"Paper","ALTAMONT",1974-03-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1974,3
"Paper","SALT LAKE CY",1975-09-30,"CORROSIVE MATERIAL",0,0,0,0,"OHIO","Highway","No","No",1975,9
"Paper","SALT LAKE CITY",1998-01-05,"POISONOUS MATERIALS",0,0,0,0,"MISSOURI","Highway","No","No",1998,1
"Paper","SALT LAKE CY",1975-12-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEW YORK","Highway","No","No",1975,12
"Paper","SALT LAKE CY",1979-06-29,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",1979,6
"Paper","MOUNT GREEN",1976-02-08,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WYOMING","Highway","No","Yes",1976,2
"Paper","NEPHI",1982-11-21,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","Yes",1982,11
"Paper","GREEN RIVER",1976-06-15,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","Yes",1976,6
"Paper","SPANISH FORK",1974-01-24,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1974,1
"Paper","SALT LAKE CITY",1988-04-18,"FLAMMABLE SOLID (PRE 1991)",0,0,0,0,"KENTUCKY","Rail","No","No",1988,4
"Paper","SALT LAKE",2001-11-20,"CORROSIVE MATERIAL",0,0,0,200,"ALABAMA","Highway","No","No",2001,11
"Paper","SALT LAKE",1997-06-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,30,NA,"Air","No","No",1997,6
"Paper","HENRIEVILLE",1983-07-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","Yes",1983,7
"Paper","SALT LAKE CY",1974-03-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"OREGON","Highway","No","No",1974,3
"Paper","SALT LAKE CY",1976-12-10,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",1976,12
"Paper","SALT LAKE CITY",1987-07-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1987,7
"Paper","SALT LAKE",2005-08-08,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"VIRGINIA","Highway","No","No",2005,8
"Paper","SALT LAKE CITY",1989-01-03,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,0,"LOUISIANA","Highway","No","No",1989,1
"Paper","SALT LAKE CY",1976-02-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1976,2
"Paper","SALT LAKE CITY",1999-07-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,500,"COLORADO","Highway","No","No",1999,7
"Web","SALT LAKE CITY",2012-05-14,"CORROSIVE MATERIAL",0,0,0,2000,"NEW JERSEY","Highway","No","No",2012,5
"Web","SALT LAKE CITY",2008-11-05,"COMBUSTIBLE LIQUID",0,0,0,0,"FLORIDA","Highway","No","No",2008,11
"Paper","SALT LAKE CY",1979-02-01,"POISONOUS MATERIALS",0,0,0,0,"COLORADO","Highway","No","No",1979,2
"Web","SALT LAKE CITY",2012-09-06,"POISONOUS MATERIALS",0,0,0,3000,"CALIFORNIA","Highway","No","No",2012,9
"Paper","SALT LAKE CY",1980-06-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,6
"Web","SALT LAKE CITY",2010-09-15,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEW JERSEY","Highway","No","No",2010,9
"Paper","WEST VALLEY CITY",1999-04-27,"OXIDIZER",0,0,0,352,"MISSISSIPPI","Highway","No","No",1999,4
"Paper","LA SAL",1984-01-06,"CORROSIVE MATERIAL",0,0,0,0,"NEVADA","Highway","No","Yes",1984,1
"Web","CASTLE DALE",2009-10-30,"COMBUSTIBLE LIQUID",0,0,0,1130,"UTAH","Highway","No","No",2009,10
"Paper","SALT LAKE CITY",2007-09-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1000,"OHIO","Highway","No","No",2007,9
"Web","SALT LAKE CITY",2014-04-16,"OXIDIZER",0,0,0,0,"CALIFORNIA","Highway","No","No",2014,4
"Paper","SALT LAKE CITY",2011-02-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2011,2
"Paper","WEST VALLEY CITY",2010-06-23,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",2010,6
"XML","SALT LAKE CITY",2008-10-08,"ORGANIC PEROXIDE",0,0,0,0,"TEXAS","Highway","No","No",2008,10
"XML","LOGAN",2009-06-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2009,6
"Paper","SALT LAKE CITY",1973-02-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",1973,2
"Paper","SALT LAKE CY",1980-06-05,"CORROSIVE MATERIAL",0,0,0,0,"NORTH CAROLINA","Highway","No","No",1980,6
"Paper","WEST VALLEY CITY",2000-06-19,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"KENTUCKY","Air","No","No",2000,6
"Paper","SALT LAKE CITY",2008-07-01,"CORROSIVE MATERIAL",0,0,0,0,NA,"Highway","No","No",2008,7
"Paper","SALT LAKE CITY",1989-09-06,"CORROSIVE MATERIAL",0,0,0,0,"ILLINOIS","Highway","No","No",1989,9
"Paper","SALT LAKE CITY",2005-08-22,"OXIDIZER",0,0,0,0,"GEORGIA","Highway","No","No",2005,8
"XML","N SALT LAKE",2014-09-11,"OXIDIZER",0,0,0,0,"WISCONSIN","Highway","No","No",2014,9
"Paper","SALT LAKE CITY",2001-06-04,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2001,6
"Paper","NORTH SALT LAKE",2002-12-04,"CORROSIVE MATERIAL",0,0,0,525,"CALIFORNIA","Highway","No","No",2002,12
"Web","SALT LAKE CITY",2011-08-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TENNESSEE","Highway","No","No",2011,8
"Paper","WOODS CROSS",1990-03-05,"COMBUSTIBLE LIQUID",0,0,0,310,"UTAH","Highway","No","No",1990,3
"Paper","OGDEN",1981-03-14,"FLAMMABLE SOLID (PRE 1991)",0,0,0,0,"IDAHO","Rail","No","No",1981,3
"XML","OREM",2008-06-24,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2008,6
"Paper","WEST VALLEY CITY",1999-06-16,"POISONOUS MATERIALS",0,0,0,352,"MISSOURI","Highway","No","No",1999,6
"Paper","PROVO",2014-05-01,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,17800,"TEXAS","Highway","No","No",2014,5
"Web","SALT LAKE CITY",2011-03-10,"CORROSIVE MATERIAL",0,0,0,0,"MICHIGAN","Highway","No","No",2011,3
"XML","N Salt Lake",2012-03-14,"COMBUSTIBLE LIQUID",0,0,0,0,"OKLAHOMA","Highway","No","No",2012,3
"Paper","SALT LAKE CITY",1990-06-27,"CORROSIVE MATERIAL",0,0,0,85,"UTAH","Rail","No","No",1990,6
"Paper","SALT LAKE CY",1979-08-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"TEXAS","Highway","No","No",1979,8
"Paper","SALT LAKE CITY",2012-06-15,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",2012,6
"Paper","SALT LAKE CITY",2012-10-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2012,10
"Paper","SALT LAKE CY",1977-06-15,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",1977,6
"Paper","SOLDIER SUMMIT",1982-12-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","Yes",1982,12
"Paper","UNKNOWN",1986-04-04,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1986,4
"Paper","ECHO",2005-03-04,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1371,"NEBRASKA","Highway","No","No",2005,3
"Paper","KEARNS",1988-12-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1988,12
"Paper","PROVO",1975-10-05,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1975,10
"Web","SALT LAKE CITY",2014-09-12,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"INDIANA","Highway","No","No",2014,9
"Paper","SALT LAKE CITY",2012-08-28,"MISCELLANEOUS HAZARDOUS MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2012,8
"Paper","OGDEN",1999-06-17,"POISONOUS MATERIALS",0,0,0,0,"UTAH","Air","No","No",1999,6
"Paper","SALT LAKE CY",1977-09-23,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1977,9
"Paper","SALT LAKE CITY",2004-08-11,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"LOUISIANA","Highway","No","No",2004,8
"Web","SALT LAKE CITY",2011-05-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2011,5
"Paper","SALT LAKE CITY",1998-01-02,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"CALIFORNIA","Highway","No","No",1998,1
"Paper","WEST VALLEY CITY",2002-11-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,365,"TENNESSEE","Highway","No","No",2002,11
"Paper","SALT LAKE CITY",1985-08-26,"POISONOUS MATERIALS",0,0,0,0,"CALIFORNIA","Highway","No","No",1985,8
"Paper","SALT LAKE CITY",1990-02-26,"POISONOUS MATERIALS",0,0,0,130,"ARIZONA","Highway","No","No",1990,2
"Paper","SALT LAKE CITY",2008-12-12,"OTHER REGULATED MATERIAL CLASS D",0,0,0,0,"OHIO","Highway","No","No",2008,12
"Paper","OGDEN",1995-07-27,"CORROSIVE MATERIAL",0,0,0,0,"OREGON","Rail","No","No",1995,7
"Web","SALT LAKE CITY",2009-08-11,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2009,8
"Web","SALT LAKE CITY",2013-10-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WASHINGTON","Highway","No","No",2013,10
"Paper","NORTH SALT LAKE",2005-08-29,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2005,8
"XML","N Salt Lake",2014-07-17,"CORROSIVE MATERIAL",0,0,0,0,"ARIZONA","Highway","No","No",2014,7
"Paper","SALT LAKE CITY",1997-03-24,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,250,"ILLINOIS","Highway","No","No",1997,3
"Web","SALT LAKE CITY",2010-04-09,"ORGANIC PEROXIDE",0,0,0,0,"CALIFORNIA","Highway","No","No",2010,4
"Paper","SALT LAKE CITY",2011-04-27,"OXIDIZER",0,0,0,0,"CALIFORNIA","Highway","No","No",2011,4
"Paper","SALT LAKE CITY",2013-06-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NORTH CAROLINA","Highway","No","No",2013,6
"Paper","OGDEN",1976-06-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1976,6
"Paper","WEST VALLEY CITY",1994-06-06,"CORROSIVE MATERIAL",0,0,0,500,"TENNESSEE","Highway","No","No",1994,6
"Web","SALT LAKE CITY",2013-02-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2013,2
"Web","SALT LAKE CITY",2014-05-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NORTH CAROLINA","Highway","No","No",2014,5
"Paper","SALT LAKE CITY",2008-01-15,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2008,1
"Paper","SALT LAKE CITY",1992-09-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,125,NA,"Highway","No","No",1992,9
"Paper","SALT LAKE CITY",1998-11-12,"CORROSIVE MATERIAL",0,0,0,150,"CALIFORNIA","Highway","No","No",1998,11
"Paper","WEST VALLEY CITY",2007-11-15,"OXIDIZER",0,0,0,0,"MINNESOTA","Highway","No","No",2007,11
"Web","SALT LAKE CITY",2009-07-07,"COMBUSTIBLE LIQUID",0,0,0,0,"NORTH CAROLINA","Highway","No","No",2009,7
"Paper","SALT LAKE CITY",2004-10-01,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,200,"MISSOURI","Highway","No","No",2004,10
"Paper","SALT LAKE CITY",2005-02-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"COLORADO","Highway","No","No",2005,2
"Paper","WEST VALLEY CITY",2000-06-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,357,"FLORIDA","Highway","No","No",2000,6
"XML","NORTH SALT LAKE",2006-03-01,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",2006,3
"Paper","SALT LAKE CITY",1994-12-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,80,"NEW YORK","Highway","No","No",1994,12
"Paper","SALT LAKE CITY",1994-11-29,"CORROSIVE MATERIAL",0,0,0,50,"UTAH","Highway","No","No",1994,11
"XML","NORTH SALT LAKE",2007-08-23,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,8
"Paper","SALT LAKE CY",1977-12-02,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1977,12
"Paper","DUCHESNE",1991-01-25,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,13730,"UTAH","Highway","No","No",1991,1
"Web","SALT LAKE CITY",2013-03-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WASHINGTON","Highway","No","No",2013,3
"Paper","SALT LAKE CITY",2014-06-04,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","No",2014,6
"Paper","GRANGER",1972-11-17,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1972,11
"Paper","PLEASENT GREEN",2011-04-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,58295,"UTAH","Highway","No","Yes",2011,4
"Web","WEST VALLEY CITY",2014-02-21,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"IOWA","Highway","No","No",2014,2
"Paper","SALT LAKE CITY",2009-11-04,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2009,11
"Paper","SALT LAKE CITY",2002-12-09,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,150,"ALABAMA","Highway","No","No",2002,12
"Paper","SALT LAKE CY",1980-06-22,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1980,6
"XML","N Salt Lake",2012-07-16,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"WISCONSIN","Highway","No","No",2012,7
"Paper","SALT LAKE CITY",2011-09-20,"NONFLAMMABLE COMPRESSED GAS",0,0,0,0,"WYOMING","Highway","No","No",2011,9
"Paper","SALT LAKE CY",1978-04-07,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"IDAHO","Highway","No","No",1978,4
"Paper","NORTH SALT LAKE",2001-11-28,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,525,"UTAH","Highway","No","No",2001,11
"Paper","OGDEN",2001-04-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,192,NA,"Highway","No","No",2001,4
"XML","NORTH SALT LAKE",2008-07-24,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2008,7
"Paper","NORTH SALT LAKE",2001-10-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,525,"KENTUCKY","Highway","No","No",2001,10
"XML","Salt Lake City",2014-09-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,2552,"ILLINOIS","Rail","No","No",2014,9
"Web","SALT LAKE CITY",2007-07-12,"COMBUSTIBLE LIQUID",0,0,0,0,"NEW JERSEY","Highway","No","No",2007,7
"Paper","SALT LAKE CITY",2007-04-08,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",2007,4
"Paper","SALT LAKE CY",1980-07-08,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",1980,7
"Paper","CLIVE",2006-12-18,"RADIOACTIVE MATERIAL",0,0,0,2000,"TENNESSEE","Highway","No","No",2006,12
"Web","NORTH SALT LAKE",2012-09-20,"CORROSIVE MATERIAL",0,0,0,2000,"TEXAS","Highway","No","No",2012,9
"Web","SALT LAKE CITY",2009-02-25,"CORROSIVE MATERIAL",0,0,0,0,"NORTH CAROLINA","Highway","No","No",2009,2
"Paper","SALT LAKE CITY",2001-07-26,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2001,7
"Paper","SALT LAKE CITY",2007-04-03,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Highway","No","No",2007,4
"Paper","WEST VALLEY",2009-06-27,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,NA,"Highway","No","No",2009,6
"Paper","SALT LAKE CITY",2008-05-16,"NONFLAMMABLE COMPRESSED GAS",0,0,0,0,"CALIFORNIA","Highway","No","No",2008,5
"Paper","SALT LAKE CITY",2013-05-27,"CORROSIVE MATERIAL",0,0,0,0,"OKLAHOMA","Highway","No","No",2013,5
"Web","SALT LAKE CITY",2006-07-19,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,700,"CALIFORNIA","Highway","No","No",2006,7
"XML","Salt Lake City",2013-09-27,"CORROSIVE MATERIAL",0,0,0,0,"OREGON","Highway","No","No",2013,9
"Paper","NORTH SALT LAKE",2004-10-08,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,425,"KANSAS","Highway","No","No",2004,10
"Web","SALT LAKE CITY",2014-03-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2014,3
"Paper","WEST VALLEY CITY",2002-09-06,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,385,"MARYLAND","Highway","No","No",2002,9
"Paper","OGDEN",1994-02-02,"CORROSIVE MATERIAL",0,0,0,0,"IDAHO","Rail","No","No",1994,2
"Paper","SALT LAKE CITY",1991-08-23,"OXIDIZER",0,0,0,0,NA,"Highway","No","No",1991,8
"Paper","SALT LAKE CITY",2010-05-18,"FLAMMABLE SOLID",0,0,0,0,"ILLINOIS","Highway","No","No",2010,5
"Paper","SALT LAKE CITY",1985-07-18,"CORROSIVE MATERIAL",0,0,0,0,"NEW YORK","Rail","No","No",1985,7
"Paper","PROVO",1991-12-10,"CORROSIVE MATERIAL",0,0,0,5,"GEORGIA","Highway","No","No",1991,12
"Web","SALT LAKE CITY",2014-04-22,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"MISSOURI","Highway","No","No",2014,4
"Paper","SALT LAKE CITY",2006-06-15,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1500,"CALIFORNIA","Highway","No","No",2006,6
"Paper","SALT LAKE CITY",1996-05-29,"CORROSIVE MATERIAL",0,0,0,0,"TEXAS","Highway","No","No",1996,5
"Paper","WEST VALLEY CITY",2001-11-15,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,410,NA,"Highway","No","No",2001,11
"Paper","SALT LAKE CITY",2007-11-07,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"NEVADA","Highway","No","No",2007,11
"Paper","MOAB",1979-05-03,"CORROSIVE MATERIAL",0,0,0,0,"COLORADO","Highway","No","Yes",1979,5
"Paper","SALT LAKE CITY",1995-11-27,"POISONOUS MATERIALS",0,0,0,155,"FLORIDA","Highway","No","No",1995,11
"Web","SALT LAKE CITY",2009-02-05,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,1000,"GEORGIA","Highway","No","No",2009,2
"XML","NORTH SALT LAKE",2008-08-04,"OXIDIZER",0,0,0,0,"KENTUCKY","Highway","No","No",2008,8
"Paper","SALT LAKE CITY",1996-01-04,"CORROSIVE MATERIAL",0,0,0,125,"UTAH","Highway","No","No",1996,1
"Paper","NORTH SALT LAKE",2001-10-03,"CORROSIVE MATERIAL",0,0,0,525,"CALIFORNIA","Highway","No","No",2001,10
"Paper","KAMAS",1989-07-20,"COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",1989,7
"Paper","SALT LAKE CY",1976-05-27,"CORROSIVE MATERIAL",0,0,0,0,"MICHIGAN","Highway","No","No",1976,5
"Paper","SALT LAKE CITY",1988-05-17,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1988,5
"Paper","SALT LAKE CITY",1997-06-23,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"GEORGIA","Highway","No","No",1997,6
"Paper","SALT LAKE CY",1975-04-03,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"CALIFORNIA","Highway","No","No",1975,4
"Paper","SALT LAKE CY",1978-10-27,"CORROSIVE MATERIAL",0,0,0,0,"CALIFORNIA","Highway","No","No",1978,10
"Paper","WEST VALLEY CITY",1995-07-18,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,160,"IDAHO","Highway","No","No",1995,7
"Paper","SALT LAKE CITY",2012-09-14,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"UTAH","Highway","No","No",2012,9
"Paper","WEST VALLEY CITY",1995-04-24,"OXIDIZER",0,0,0,490,"GEORGIA","Highway","No","No",1995,4
"Paper","SALT LAKE CITY",1998-06-30,"CORROSIVE MATERIAL",0,0,0,150,"MINNESOTA","Highway","No","No",1998,6
"Paper","SALT LAKE",1996-08-15,"CORROSIVE MATERIAL",0,0,0,0,"UTAH","Rail","No","No",1996,8
"XML","N SALT LAKE",2014-08-30,"FLAMMABLE - COMBUSTIBLE LIQUID",0,0,0,0,"ILLINOIS","Highway","No","No",2014,8
