"name_org","city","state","formation_yr","exempt_status.501c3","gross_receipts","voting_memb_ct","income_tot_unrelated","fundraise_expense_tot_curyr","asset_tot_beginyr","rev_giftsgrants_tot_curyr","rev_investmt_curyr","rev_prgmservice_curyr","rev_tot_curyr","grants_expense_tot_curyr","benefits_expense_tot_curyr","salaries_expense_tot_curyr","expense_tot_curyr","rev_less_expense_curyr","asset_tot_endyr","liability_tot_endyr","asset_net_endyr","delegate_management","memb_elect_board","conflict_interest_policy","enforce_conflict_policy","whistleblower_policy"
"WILLOW BROOK COUNTRY CLUB","TYLER","TX",1922,"",6576048,13,500534,0,6295647,0,3069,3788790,5544003,0,0,3148670,5553820,-9817,7440613,2732668,4707945,"no","yes","no","no","no"
"PEACE DALE UNITED CHURCH HOUSING INC","PEACE DALE","RI",1977,"true",1613615,10,0,0,1815988,0,363,1609239,1613615,0,0,367270,1089758,523857,2248535,3114115,-865580,"no","yes","no","","no"
"THE CENTURIONS OF KENDALL COUNTY INC","BOERNE","TX",1986,"true",112570,48,0,0,132178,3364,5828,101560,112570,60064,0,0,111575,995,133173,0,133173,"no","no","no","","no"
"HUNTINGTON BEACH CHAMBER OF COMMERCE","HUNTINGTON BEACH","CA",1946,"",483168,7,0,0,72574,0,2,479069,483168,0,0,282705,564771,-81603,13595,35636,-22041,"no","no","yes","no","no"
"NEW JERSEY STATE POLICEMEN'S 382 ESSEX COUNTY PBA LOCAL","NEWARK","NJ",NA,"",496086,5,0,0,550958,0,0,496086,496086,0,338733,0,451274,44812,595770,0,595770,"no","yes","no","","no"
"National Board of Nutrition Support Certification Inc","Silver Spring","MD",1995,"",618703,15,0,0,737463,0,67195,396975,464913,0,0,0,393176,71737,750382,25015,725367,"no","no","yes","yes","yes"
"PRINCE HALL GRAND LODGE","OVERLAND PARK","KS",1963,"",327618,8,0,0,393224,326347,1271,0,327618,0,0,0,295120,32498,425722,0,425722,"no","yes","no","","no"
"Plumbers AFL-CIO 519","Miami","FL",1950,"",1002456,14,0,0,458354,1000146,2030,0,1002456,0,0,565201,962856,39600,523115,0,523115,"no","yes","yes","no","no"
"URBAN PHILANTHROPIES INC","POMPANO BEACH","FL",2013,"true",22652,10,0,0,2305257,3191,711,12750,22652,17070,0,0,454334,-431682,2630411,1215703,1414708,"no","no","yes","yes","no"
"NORWAY PINE GROVE CEMETERY C/O STUART GOODWIN","NORWAY","ME",1861,"",142909,6,0,0,716736,0,53324,3997,57321,0,0,14710,63382,-6061,685275,90,685185,"no","no","no","","no"
"UNION HALL ASSOCIATION","SPRINGFIELD","OH",1851,"",18164,5,0,0,404489,0,2173,0,8651,4000,0,750,6359,2292,406781,0,406781,"no","no","no","","no"
"BPO ELKS 606","BILOXI","MS",1909,"",668375,5,13920,0,470885,44383,0,0,200629,0,0,12147,188401,12228,483277,23253,460024,"no","yes","no","","no"
"UPSALA ELDER HOUSING CORPORATION","WORCESTER","MA",1993,"true",585100,7,0,0,3102339,361676,242,218646,585100,0,0,191602,707038,-121938,2988681,66029,2922652,"yes","no","yes","no","no"
"THE MAP FOUNDATION INC","LEXINGTON","KY",2007,"true",1078384,5,50,0,1170516,818526,50,0,937438,101011,0,0,101011,836427,3171958,1700000,1471958,"no","no","no","no","no"
"Benevolent & Protective Order of Elks of the USA","West Orange","NJ",1932,"",180727,12,0,4754,237715,36741,55,0,134281,0,0,0,142145,-7864,229851,0,229851,"no","yes","no","","no"
"COLOMBIANOS SIN FRONTERA INC","ELIZABETH","NJ",NA,"true",32501,39,0,0,69700,32501,0,0,32501,0,0,0,94363,-61862,7838,0,7838,"no","yes","yes","yes","no"
"Kaiser Permanente Nurse Anesthetists Assn of Southern California","Long Beach","CA",1979,"",697035,6,0,0,1522109,0,18040,678995,697035,2541,15168,286248,535499,161536,1683673,98,1683575,"no","yes","yes","yes","yes"
"THE COOP A COOPERATIVE MONTESSORI PRESCHOOL","MOREHEAD CITY","NC",2013,"true",48795,5,0,0,12259,1325,0,47470,48795,0,0,33564,43672,5123,17859,1168,16691,"no","no","yes","yes","no"
"Fort Stockton Historical Society","Fort Stockton","TX",1954,"true",246377,12,0,0,1203250,22787,6408,182318,246377,0,0,112865,320394,-74017,1129319,1309,1128010,"no","yes","yes","yes","no"
"GREENSBORO CEREBRAL PALSY ASSOCIATION INC","GREENSBORO","NC",1951,"true",530795,18,0,0,1546457,385469,27542,116772,522868,0,0,98238,488844,34024,1579218,0,1579218,"no","no","no","","no"
"EDUCATION & TRAINING CONNECTION INC","MIDLAND","MI",1997,"true",3771749,5,0,0,2599990,793341,4973,2425125,3771749,0,0,2821429,3632810,138939,2681652,511031,2170621,"no","no","yes","yes","yes"
"LAKELAND MONTESSORI SCHOOLHOUSE INC","LAKELAND","FL",2004,"true",1101250,4,0,0,2383623,8270,673,1037068,1101250,0,0,0,1007567,93683,2749732,1179916,1569816,"no","no","yes","yes","yes"
"CONGREGATIONAL INVESTMENT TRUST CO COMMUNITY BANK TRUST DEPARTMENT","OLEAN","NY",1994,"true",1388577,9,0,0,15638987,214005,567951,0,781956,447365,0,30630,511471,270485,15909472,0,15909472,"no","no","yes","no","no"
"ST MICHAEL-ALBERTVILLE FOOTBALL BOOSTER CLUB","ST MICHAEL","MN",2007,"true",84774,3,0,0,19406,1717,0,10830,64596,5025,0,0,78011,-13415,5991,0,5991,"no","no","no","","no"
"Camp Haccamo Foundation Inc","Rochester","NY",1956,"true",72701,5,0,0,1647864,6652,66049,0,72701,0,0,0,860,71841,1816904,0,1816904,"no","no","yes","yes","yes"
"1865 MUTUAL BENEVOLENT SOCIETY INC","LOCUST VALLEY","NY",NA,"",439741,1,0,0,565301,1050,194142,0,195192,0,16000,10907,50841,144351,529944,13463,516481,"no","no","no","no","no"
"LUSTRE CHRISTIAN HS FOUNDATION INC","FRAZER","MT",1998,"true",509823,3,0,0,449692,478275,21885,0,509823,0,0,0,72229,437594,887286,1204,886082,"no","no","no","","no"
"WORLD OF PINOT NOIR","PASO ROBLES","CA",2004,"",451158,7,0,0,136187,0,0,451158,451158,12000,0,475,432858,18300,154487,0,154487,"no","no","no","","no"
"THE ASSOCIATION OF CHINESE TEACHERS","SAN FRANCISCO","CA",1973,"true",61670,6,0,6965,97256,49085,7,0,61670,0,0,0,56967,4703,101959,0,101959,"no","no","no","","no"
"FAMILIES PROTECTING THE VALLEY","MADERA","CA",2000,"",66344,6,0,0,94655,66293,51,0,66344,0,0,64940,71429,-5085,89570,0,89570,"no","no","no","","no"
"GOUVERNEUR LODGE 2035 BPOE","GOUVERNEUR","NY",1957,"",232968,10,3880,0,219692,14764,0,22246,84181,5780,0,18285,83734,447,220239,15773,204466,"no","yes","yes","yes","no"
"UNITED WAY OF WEST TENNESSEE INC","JACKSON","TN",1941,"true",1959570,24,2450,139291,3058765,1627968,146682,2450,1775302,1174372,0,327336,1692313,82989,3068266,806760,2261506,"no","no","yes","yes","yes"
"BETA LAMBDA CHAPTER OF KAPPA KAPPA GAMMA","CHAMPAIGN","IL",NA,"",619880,3,1639,0,2061608,0,1639,618241,619880,0,0,75888,580123,39757,2165288,65024,2100264,"no","no","no","no","no"
"Feed the Family","Boise","ID",2014,"true",0,3,0,0,160,0,0,0,0,0,0,0,207,-207,228,2738,-2510,"no","no","no","","no"
"Veterans of Foreign Wars","San Antonio","TX",1997,"",196947,311,0,0,27954,40046,6,0,138293,3225,0,19459,135493,2800,30754,0,30754,"no","no","yes","no","no"
"WATER FOR CAMBODIA A MIDDLETOWN CHARITABLE TRUST","MIDDLETOWN","RI",1999,"true",202094,12,0,0,287335,137523,792,0,186406,121570,0,0,128324,58082,345417,0,345417,"no","no","no","","no"
"Bakersfield Firemens Labor Organization","Bakersfield","CA",1990,"",239203,7,0,0,133614,239082,90,0,239203,0,0,0,248326,-9123,126959,0,126959,"no","yes","no","","no"
"GREATER HOPE MINISTRIES","PHILADELPHIA","PA",1996,"true",476321,0,0,0,271583,2000,0,474321,476321,0,0,152435,472767,3554,275137,0,275137,"no","no","no","no","no"
"Institute for American Values","New York","NY",1987,"true",559887,12,0,64038,73054,540939,5,18943,559887,0,0,327219,626271,-66384,39352,108385,-69033,"no","no","yes","yes","no"
"KINGS RIVER VILLAGE COMMUNITY ASSOC","HOUSTON","TX",1993,"",535963,7,0,0,781671,0,4076,514800,535963,0,0,0,458427,77536,633260,52160,581100,"yes","yes","no","","no"
"UNIVERSITY OF ALASKA FEDERATION OF TEACHERS LOCAL 2404","ANCHORAGE","AK",1973,"",671377,17,0,0,349444,0,43256,377216,455743,0,0,90961,304040,151703,0,0,0,"no","yes","yes","yes","no"
"DELAWARE FINANCIAL EDUCATION ALLIANCE INC","DOVER","DE",1983,"true",746982,13,0,0,343981,235000,1655,510327,746982,196250,0,0,717111,29871,306949,22515,284434,"yes","no","yes","yes","yes"
"National Rural Letter Carriers Kansas RLCA","El Dorado","KS",1903,"",162545,6,0,0,4961,153452,147,8946,162545,0,0,36216,98077,64468,48325,2394,45931,"no","no","no","","no"
"PARENTERAL DRUG ASSOCIATION FOUNDATION FOR PHARMACEUTICAL SCIENCES INC","TUCSON","AZ",1989,"true",420019,10,0,0,465091,0,29916,0,29916,0,0,0,6104,23812,0,0,0,"no","no","no","","no"
"CALIFORNIA ALPINE CLUB","MILL VALLEY","CA",1923,"",177751,13,3075,0,1032464,3413,1910,168350,174838,0,0,0,165292,9546,1035304,6946,1028358,"no","no","yes","yes","yes"
"FRATERNAL ORDER OF EAGLES","PORTLAND","ME",NA,"",3472628,5,0,0,927864,22510,0,370322,632334,15421,3314,208497,701064,-68730,843307,130517,712790,"no","no","no","","no"
"BAYSIDE MONTESSORI ASSOCIATION","ALAMEDA","CA",NA,"true",220248,4,0,0,162797,2000,0,213495,219348,0,0,154563,216806,2542,165339,0,165339,"no","no","no","","no"
"MISSOURI VETERINARY EDUCATIONAL SERVICES INC","COLUMBIA","MO",NA,"true",82158,3,0,0,144637,0,3,0,31869,12623,0,15170,32601,-732,138753,3631,135122,"no","no","no","","no"
"UNITED WAY OF OLMSTED COUNTY INC","ROCHESTER","MN",1925,"true",4018725,17,0,428336,5338021,3684610,74427,52311,3847413,2382727,0,956134,3692697,154716,5412803,1103367,4309436,"no","no","yes","yes","yes"
"FRATERNAL ORDER OF EAGLES 427","EVANSVILLE","IN",1903,"",169084,8,2992,0,995852,12000,-61,0,75230,0,0,30297,99459,-24229,971625,117,971508,"no","no","no","","no"
"COMMUNITY HEALTH CLINICS INC","NAMPA","ID",1972,"true",34089300,14,0,114276,20778467,15378654,5895,18669093,34089300,110870,0,22716371,35784697,-1695397,18242923,8859880,9383043,"no","no","yes","yes","yes"
"TEXAS SOCIETY OF PSYCHIATRIC PHYSICIANS","AUSTIN","TX",1956,"",509310,29,0,0,177646,39786,51,469473,509310,0,0,0,454640,54670,232316,0,232316,"no","yes","yes","yes","yes"
"BPO ELKS LODGE 1897","ALAMOGORDO","NM",1953,"",402461,9,0,0,685548,33326,261,368874,402461,0,0,86705,415600,-13139,652664,314293,338371,"no","no","no","","no"
"CDI SERVICES EMPLOYEE BENEFIT TRUST C/O FIRST SOURCE BANK","SOUTH BEND","IN",1989,"",370350,1,0,0,30398,0,0,370350,370350,0,340228,0,340824,29526,59924,0,59924,"no","no","no","","no"
"UNITED IN CHRIST MINISTRY WORLDWIDE INC","LOS FRESNOS","TX",2000,"true",442169,4,5478,0,912853,429167,203,0,434848,0,0,41116,411750,23098,968015,60599,907416,"no","no","no","","no"
"HOUSTON RHF HOUSING INC","LONG BEACH","CA",1997,"true",585355,7,0,0,3208392,401988,-11951,181888,573181,0,0,0,657920,-84739,3205855,4945598,-1739743,"yes","yes","yes","yes","yes"
"NATHAN HALE HOUSING CO INC","LYNBROOK","NY",NA,"true",1481184,5,0,0,8525686,0,4138,1477046,1481184,0,0,440012,1709060,-227876,8240717,3365530,4875187,"no","no","yes","no","no"
"BENEVOLENT AND PROTECTIVE ORDER OF ELKS BEND ELKS LODGE NO 1371","BEND","OR",1919,"",1039051,11,0,0,2211951,94604,35803,31298,211745,0,0,23688,250906,-39161,2167074,63445,2103629,"no","yes","yes","no","yes"
"WATERVILLE AREA YMCA","WATERVILLE","ME",1950,"true",1132599,15,0,0,723165,155627,13689,963283,1132599,22438,0,355976,1017311,115288,875187,0,875187,"no","no","yes","yes","yes"
"HAVEN FAMILY RESOURCE CENTER","LAKE HAVASU CITY","AZ",NA,"true",268953,9,0,0,549865,245784,71,23081,268953,0,0,141704,247145,21808,554157,69835,484322,"no","no","no","no","no"
"BETHEL PARK MUSIC BOOSTERS","BETHEL PARK","PA",2009,"true",622397,4,0,0,65558,3710,163,0,418390,0,0,0,356750,61640,127198,0,127198,"no","yes","no","","no"
"SOUTH TEXAS SUPPER CLUB INC","COLLEGE STATION","TX",2017,"true",54105,3,0,0,NA,54105,0,0,54105,20000,0,0,51713,2392,2392,0,2392,"no","no","no","","no"
"FAMILY FIRST RESOURCE MINISTRIES INC","CYPRESS","CA",2008,"true",37658,3,0,0,147347,0,57,37601,37658,0,0,0,54102,-16444,130903,0,130903,"no","no","yes","no","yes"
"Family Apartments","Napa","CA",1990,"true",353967,3,0,0,1135544,0,41,353926,353967,0,0,0,344178,9789,1158619,2463640,-1305021,"yes","no","yes","yes","yes"
"MINING FOUNDATION OF THE SOUTHWEST","TUCSON","AZ",1971,"true",241971,23,0,0,510505,27310,10409,0,146977,92144,0,32605,137607,9370,519875,0,519875,"no","no","no","","no"
"Renovo BPO Elks Lodge # 334","Renovo","PA",1897,"",94913,348,0,0,208220,13682,0,0,65115,0,4868,25975,70809,-5694,203665,0,203665,"no","yes","no","","no"
"WEST LAFAYETTE SCHOOLS EDUCATION FOUNDATION INC","WEST LAFAYETTE","IN",2005,"true",312730,19,0,46234,744772,267364,29722,0,292720,37367,0,61291,190418,102302,870157,0,870157,"no","no","no","","no"
"Santa Clara Police Association","Santa Clara","CA",NA,"",303560,10,0,0,690809,282766,54,0,289007,25921,103142,9000,258906,30101,711264,308381,402883,"no","yes","no","no","no"
"AIKIDO SHOBUKAN DOJO","WASHINGTON","DC",1991,"true",307524,7,157,0,461102,2845,157,304522,307524,0,0,0,199110,108414,569516,0,569516,"yes","no","no","","no"
"Association of Business Administrators of","Hudsonville","MI",1992,"true",512276,9,0,89379,239195,6058,27619,478599,512276,0,0,188684,486052,26224,231881,5974,225907,"no","yes","yes","yes","yes"
"DUNAMIS ACADEMY","KERRVILLE","TX",2008,"true",56100,4,0,0,350275,0,39640,100,39740,0,0,30016,47462,-7722,0,0,0,"no","no","yes","yes","yes"
"DERBY LODGE 571 BPOE","DERBY","CT",1969,"",179505,7,0,0,195178,28594,176,34403,50742,0,0,2500,72317,-21575,176905,28685,148220,"no","yes","yes","no","no"
"BRAZOSWOOD BAND BOOSTER CLUB","LAKE JACKSON","TX",1995,"true",300479,7,0,0,133979,1000,288,210835,269627,0,0,0,306313,-36686,97935,1943,95992,"no","no","no","","no"
"LENOIR COUNTY SPCA INC","KINSTON","NC",NA,"true",1239557,14,0,1397,2621051,533322,20772,153675,725412,0,0,247452,475938,249474,2868177,6941,2861236,"no","no","no","","no"
"HISTORICAL SOC MLLRSBRG & U P","MILLERSBURG","PA",1980,"true",52908,11,0,0,604904,45242,4801,0,51336,1000,0,0,28480,22856,627760,83,627677,"no","yes","no","","no"
"Fox Meadow Tennis Club Inc","West Harrison","NY",2000,"",721596,10,0,0,1200544,500773,0,220823,721596,0,0,251027,676612,44984,1216674,189916,1026758,"no","no","yes","yes","no"
"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL WORKERS LOCAL 251","OMAHA","NE",1956,"",351066,9,0,0,179350,351066,0,0,351066,0,97296,152430,308263,42803,221966,3233,218733,"no","yes","no","","no"
"Historic Alexandria Foundation","Alexandria","VA",1954,"true",205632,22,0,11100,1939572,16665,102722,0,166261,17800,0,22200,104347,61914,2067355,0,2067355,"no","no","no","","no"
"BETHEL BIBLE VILLAGE","HIXSON","TN",1954,"true",5657371,23,0,180761,5185836,1262426,425769,12866,2088546,0,0,1591347,2186364,-97818,5085607,497706,4587901,"no","no","yes","yes","yes"
"COLUMBUS AREA CHAMBER OF COMMERCE","COLUMBUS","NE",1935,"",867755,14,33176,0,1413381,347926,1555,479370,867755,0,0,291091,850445,17310,1399097,188802,1210295,"no","no","no","","no"
"DENISON TX LODGE 238 ORDER OF ELKS","DENISON","TX",1989,"",351463,371,0,0,356834,30399,1710,0,280879,0,0,69018,230491,50388,461855,18791,443064,"no","no","no","","no"
"ACC MAVERICKS INC","ALBANY","CA",2009,"true",535767,8,0,0,98014,5747,2,510577,526543,0,0,0,450027,76516,174530,0,174530,"no","no","no","no","no"
"GIRLS AND GANGS","LOS ANGELES","CA",2009,"true",250,6,0,0,24181,250,0,0,250,14195,0,0,24431,-24181,0,0,0,"no","no","yes","yes","yes"
"TONAWANDA LODGE NO 2163","NORTH TONAWANDA","NY",1967,"",171046,9,0,0,275328,8957,0,0,92640,0,0,0,78213,14427,282163,3244,278919,"no","yes","no","","no"
"703 Cedar Street Inc","Garberville","CA",1999,"true",93098,6,0,0,1636496,62420,72,30606,93098,0,0,49203,158743,-65645,1561633,2098583,-536950,"yes","no","no","no","no"
"ALABAMA DERMATOLOGY SOCIETY","MOUNTAIN BROOK","AL",1992,"",1330082,7,0,0,4330786,10022,15977,1300488,1330082,1650,0,0,480226,849856,5180642,0,5180642,"no","yes","yes","yes","yes"
"GRAYLING GAME CLUB C/O TOM MCGEE","FARMINGTON","MI",1934,"",95323,39,11565,0,712122,49350,11565,34408,95323,0,0,0,92523,2800,714922,0,714922,"no","yes","no","","no"
"WESTFIELD CHILD DEVELOPMENT CENTER","Westfield","PA",1969,"true",212303,6,44,0,377294,4000,44,202725,212303,0,0,129256,212099,204,384001,6992,377009,"no","no","no","","no"
"MERCER COUNTY CONVENTION AND VISITORS BUREAU INC","BLUEFIELD","WV",1985,"",512860,12,0,0,497033,0,2599,0,512860,0,0,123288,503213,9647,503245,1401,501844,"no","no","yes","yes","yes"
"THE EBELL SOCIETY OF THE SANTA ANA VALLEY","SANTA ANA","CA",1909,"true",138900,0,0,0,416636,4832,94,133974,138900,0,0,6973,155605,-16705,396391,0,396391,"no","no","no","","no"
"Benevolent & Protective Order of Elks #2199","Brighton","MA",1961,"",425682,9,0,0,2046691,30107,1317,5940,315858,0,0,89848,291308,24550,1323551,26767,1296784,"no","yes","no","","no"
"LAKE PARK CEMETERY","LAUREL","MS",NA,"",3418790,14,7962,0,7764752,0,1124626,86500,1420515,0,0,358063,787703,632812,8497203,1152,8496051,"no","no","yes","yes","no"
"CARROLL COUNTY WELLNESS CENTER INC","HILLSVILLE","VA",2004,"true",593480,10,0,0,1954996,543976,3513,0,577193,0,0,286777,637958,-60765,1883004,1280106,602898,"no","no","no","","no"
"PORT HURON LODGE NO 158 LOYAL ORDER","PORT HURON","MI",1964,"",793123,890,0,0,676158,11513,0,0,251059,0,0,75128,230132,20927,699448,2363,697085,"no","no","no","","no"
"ALPHA GAMMA RHO HOUSE CORPORATION CO MARTIN PETERSON","WATERTOWN","SD",NA,"",94553,9,0,0,1771451,2080,5,92468,94553,0,0,0,127520,-32967,1724526,283281,1441245,"no","no","no","no","no"
"AMARANTH DIABETES FOUNDATION INC","Madison","WI",2000,"true",429687,16,0,0,564376,429215,472,0,429687,368093,0,0,368093,61594,625970,0,625970,"no","no","no","","no"
"BPOE NO 370","UNIONTOWN","PA",NA,"",261382,12,0,0,189511,38306,662,0,86596,9410,0,5479,78774,7822,195953,12766,183187,"no","no","no","","no"
"KNIGHTS OF COLUMBUS #3381","LIBERAL","KS",1963,"",70389,0,0,0,209017,6198,60,0,62265,10877,0,0,51707,10558,219575,0,219575,"no","no","no","","no"
"ZHENGUO BEIJING OPERA HOUSE INC","NEW YORK","NY",2006,"true",0,1,0,0,3914,0,0,0,0,0,0,0,155,-155,0,39632,-39632,"no","no","no","","no"
"Napa Band Booster Club","Napa","CA",1963,"true",375823,7,0,0,191878,15787,10,23045,65379,7833,0,0,68274,-2895,188983,0,188983,"no","no","no","","no"
"STREET DANCE PRODUCTIONS INC","LONG ISLAND CITY","NY",1980,"true",175,5,0,0,417240,175,0,0,175,0,0,0,16948,-16773,400467,0,400467,"no","no","yes","yes","no"
"WESTMORELAND REGIONAL HOSPITAL AUXILIARY","GREENSBURG","PA",1896,"true",231833,7,0,0,150973,2220,2,0,92529,35000,0,60506,108401,-15872,137175,9913,127262,"no","no","yes","yes","yes"
"THE FOOD PANTRY INC","PORT WASHINGTON","WI",NA,"true",172594,15,0,157,464769,163323,2842,6429,172594,0,0,0,171400,1194,465963,0,465963,"no","no","yes","no","yes"
"BELLAIRE HIGH SCHOOL PARENT TEACHER PARENT TEACHER ORGANIZATION","BELLAIRE","TX",2002,"true",141941,8,0,0,105881,141941,0,0,141941,0,0,0,176744,-34803,49655,0,49655,"no","no","no","","no"
"FRANCES HOUSE INC","GALESBURG","IL",1979,"true",23936681,5,0,0,132609198,8477,3579507,19794605,23382589,1028,0,6791014,17755692,5626897,138206819,53245090,84961729,"yes","no","yes","yes","no"
"NEW BERN VOA ELDERLY HOUSING INC THE MEADOWS","ALEXANDRIA","VA",1996,"true",310527,14,0,0,1176147,0,521,310006,310527,0,0,108750,420206,-109679,1070031,3094014,-2023983,"yes","yes","yes","yes","yes"
"LEXINGTON ARTS AND CRAFTS SOCIETY INC","LEXINGTON","MA",1952,"true",316175,14,0,1431,600555,43958,1634,268267,316175,1600,0,63898,285757,30418,630981,0,630981,"no","yes","yes","yes","yes"
"AMERICAN FEDERATION OF TEACHERS-BOCES 111","WYANDANCH","NY",1965,"",338789,15,0,0,607495,334372,4417,0,338789,1610,0,52370,327872,10917,618412,0,618412,"no","yes","no","","no"
"VAN WERT MOOSE LODGE 1320","VAN WERT","OH",1913,"",626331,303,0,0,636320,9257,57,9857,181029,0,2170,72149,122169,58860,695408,1407,694001,"no","no","no","","no"
"American Legion Post 15","Sioux Falls","SD",1945,"",1169838,5,598079,0,701025,0,0,139859,737938,0,0,337726,783525,-45587,667385,23649,643736,"no","no","no","no","no"
"The British Players Inc The British Players","Washington","DC",2006,"true",121109,0,0,0,513362,4078,12901,104130,121109,252,0,0,121005,104,508514,0,508514,"no","yes","no","","no"
